id,title,institution,region,status,url
embrapa-ilpf-faq,"Integração Lavoura-Pecuária-Floresta: perguntas e respostas",Embrapa,Brasil,selecionada,https://www.embrapa.br/tema-integracao-lavoura-pecuaria-floresta-ilpf/perguntas-e-respostas
embrapa-ilpf-norte,"Sistemas de ILPF na Região Norte do Brasil",Embrapa,Região Norte,a_coletar,https://www.atermaisdigital.cnptia.embrapa.br/web/ilpf/publicacoes
embrapa-florestas-ilpf,"Integração Lavoura-Pecuária-Floresta",Embrapa Florestas,Brasil,selecionada,https://www.embrapa.br/web/florestas/ilpf
